metric_group,log_name,metric,value,unit,value_numeric
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_658,3229576,points,3229576.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_659,3232397,points,3232397.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_660,3241350,points,3241350.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_661,3252824,points,3252824.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_662,3268411,points,3268411.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_663,3274133,points,3274133.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_664,3277609,points,3277609.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_665,3280817,points,3280817.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_666,3284918,points,3284918.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_667,3288164,points,3288164.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_668,3288407,points,3288407.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_669,3288407,points,3288407.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_670,3288407,points,3288407.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_671,3288411,points,3288411.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_672,3288411,points,3288411.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_673,3288411,points,3288411.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_674,3288723,points,3288723.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_675,3288768,points,3288768.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_676,3288768,points,3288768.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_677,3288768,points,3288768.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_678,3288768,points,3288768.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_679,3288768,points,3288768.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_680,3288768,points,3288768.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_681,3289481,points,3289481.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_682,3289528,points,3289528.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_683,3289528,points,3289528.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_684,3289528,points,3289528.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_685,3299299,points,3299299.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_686,3308279,points,3308279.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_687,3316605,points,3316605.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_688,3322372,points,3322372.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_689,3331217,points,3331217.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_690,3335231,points,3335231.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_691,3337886,points,3337886.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_692,3339986,points,3339986.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_693,3340702,points,3340702.0
