"FullName","SizeMB","LastWriteTime","RelevanceScore","Signals","HybridDatasetConfirmed"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\04_splatfacto\train-splatfacto-full-ds4.log","0.017","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\03_nerfacto\training-summary.txt","0.002","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\03_nerfacto\failed-render-attempts\render-safe.log","0.006","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\03_nerfacto\failed-render-attempts\attempts-summary.txt","0.02","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\03_nerfacto\failed-render-attempts\render-downscale2-repeat1.log","0","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\03_nerfacto\failed-render-attempts\render-downscale2.log","0","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\03_nerfacto\failed-render-attempts\render-dataset-train-limited.log","0.006","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\03_nerfacto\failed-render-attempts\render-dataset-train.log","0.006","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\01_dataset\dataset-summary.txt","0.001","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\01_dataset\00_dataset_input_2026-08-22_16-00-31.txt","0.002","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
